constellation,num_pairs,stars,name,ra,dec,zodiac
Cae,2,"['21060', '21770', '21770', '21861']",Caelum,"[4.513916, 4.676039, 4.676039, 4.700965]","[-44.953749, -41.86375200000001, -41.86375200000001, -37.144297]",False
Cha,2,"['40702', '51839', '51839', '60000']",Chamaeleon,"[8.308703, 10.591166, 10.591166, 12.305812]","[-76.919722, -78.607786, -78.607786, -79.31224]",False
Cnc,5,"['43103', '42806', '42806', '40843', '42806', '42911', '42911', '40526', '42911', '44066']",Cancer,"[8.778284, 8.721430999999999, 8.721430999999999, 8.334406, 8.721430999999999, 8.74475, 8.74475, 8.275256, 8.74475, 8.974784]","[28.759898, 21.468501, 21.468501, 27.217707, 21.468501, 18.154309, 18.154309, 9.185545, 18.154309, 11.857701]",True
Cap,9,"['100064', '100345', '100345', '104139', '104139', '105515', '105515', '106985', '106985', '107556', '105515', '105881', '105881', '104139', '100345', '102485', '104139', '102978']",Capricornus,"[20.300904, 20.350187, 20.350187, 21.099118, 21.099118, 21.370776, 21.370776, 21.668181, 21.668181, 21.784011, 21.370776, 21.444452, 21.444452, 21.099118, 20.350187, 20.76826, 21.099118, 20.863692]","[-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542000000006, -16.834542000000006, -16.662308, -16.662308, -16.127285999999998, -16.834542000000006, -22.411332, -22.411332, -17.232861, -14.781367, -25.270898000000006, -17.232861, -26.919133]",True
Car,14,"['45238', '50099', '50099', '52419', '52419', '52468', '52468', '54463', '54463', '53253', '53253', '51232', '51232', '50371', '50371', '45556', '42568', '41037', '41037', '30438', '45080', '45556', '45080', '42568', '30438', '31685', '41037', '39429']",Carina,"[9.220041, 10.228961, 10.228961, 10.715949, 10.715949, 10.725639, 10.725639, 11.143165, 11.143165, 10.891559, 10.891559, 10.464649, 10.464649, 10.28472, 10.28472, 9.284838, 8.676953, 8.375236, 8.375236, 6.399195, 9.182804, 9.284838, 9.182804, 8.676953, 6.399195, 6.629353, 8.375236, 8.059737]","[-69.717208, -70.037903, -70.037903, -64.39445, -64.39445, -60.566619, -60.566619, -58.975037, -58.975037, -58.853171, -58.853171, -58.739403, -58.739403, -61.332304, -61.332304, -59.275229, -59.761003, -59.509483, -59.509483, -52.69566, -58.966896, -59.275229, -58.966896, -59.761003, -52.69566, -43.195934, -59.509483, -40.003148]",False
Cas,4,"['8886', '6686', '6686', '4427', '4427', '3179', '3179', '746']",Cassiopeia,"[1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001]",False
Cen,16,"['71683', '68702', '68702', '66657', '66657', '68002', '68002', '68282', '68282', '67472', '67472', '67464', '67464', '65936', '65936', '65109', '67464', '68933', '67472', '71352', '71352', '73334', '68002', '61932', '61932', '60823', '60823', '59196', '59196', '56480', '56480', '56561']",Centaurus,"[14.660765, 14.063729, 14.063729, 13.664796, 13.664796, 13.925667, 13.925667, 13.977987, 13.977987, 13.826943, 13.826943, 13.825078, 13.825078, 13.517404999999998, 13.517404999999998, 13.343296, 13.825078, 14.111395000000002, 13.826943, 14.591786, 14.591786, 14.986025, 13.925667, 12.691971, 12.691971, 12.467331, 12.467331, 12.13931, 12.13931, 11.579355, 11.579355, 11.596363]","[-60.833976, -60.373039, -60.373039, -53.466394, -53.466394, -47.288375, -47.288375, -44.803584, -44.803584, -42.473732, -42.473732, -41.68770900000001, -41.68770900000001, -39.407307, -39.407307, -36.71229500000001, -41.68770900000001, -36.369954, -42.473732, -42.157824, -42.157824, -42.104194, -47.288375, -48.959888, -48.959888, -50.230635, -50.230635, -50.722425, -50.722425, -54.264091, -54.264091, -63.01984100000001]",False
Cep,6,"['109492', '112724', '112724', '106032', '106032', '105199', '105199', '109492', '112724', '116727', '116727', '106032']",Cepheus,"[22.180908, 22.82802, 22.82802, 21.477662, 21.477662, 21.30963, 21.30963, 22.180908, 22.82802, 23.65582, 23.65582, 21.477662]","[58.201261, 66.200408, 66.200408, 70.560716, 70.560716, 62.585573, 62.585573, 58.201261, 66.200408, 77.632276, 77.632276, 70.560716]",False
Com,2,"['64241', '64394', '64394', '60742']",Coma Berenices,"[13.166469, 13.197904, 13.197904, 12.448966]","[17.529431, 27.878183, 27.878183, 28.268423]",False
Cvn,1,"['61317', '63125']",Canes Venatici,"[12.562411, 12.933807]","[41.35748, 38.31838]",False
Aur,6,"['28380', '28360', '28360', '24608', '24608', '23453', '23453', '23015', '25428', '23015', '25428', '28380']",Auriga,"[5.995351, 5.992149, 5.992149, 5.27815, 5.27815, 5.041301, 5.041301, 4.9498940000000005, 5.438198000000001, 4.9498940000000005, 5.438198000000001, 5.995351]","[37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 41.075837, 41.075837, 33.166090000000004, 28.60745, 33.166090000000004, 28.60745, 37.212585]",False
Col,6,"['30277', '29807', '29807', '28199', '28199', '27628', '27628', '28328', '27628', '26634', '26634', '25859']",Columba,"[6.368564, 6.275871, 6.275871, 5.958947, 5.958947, 5.849329, 5.849329, 5.985778, 5.849329, 5.660817, 5.660817, 5.520209]","[-33.4364, -35.140519, -35.140519, -35.28328, -35.28328, -35.768309, -35.768309, -42.815135, -35.768309, -34.074108, -34.074108, -35.470519]",False
Cir,2,"['71908', '75323', '71908', '74824']",Circinus,"[14.708492, 15.389625, 14.708492, 15.291917000000002]","[-64.975138, -59.320787, -64.975138, -58.801208]",False
Crt,9,"['53740', '54682', '54682', '55705', '55705', '55282', '55282', '53740', '55282', '55687', '55687', '56633', '56633', '58188', '58188', '57283', '57283', '55705']",Crater,"[10.996244, 11.194302, 11.194302, 11.414702, 11.414702, 11.322347, 11.322347, 10.996244, 11.322347, 11.410164, 11.410164, 11.611365, 11.611365, 11.933599, 11.933599, 11.746049, 11.746049, 11.414702]","[-18.298783, -22.825847, -22.825847, -17.68401, -17.68401, -14.778541, -14.778541, -18.298783, -14.778541, -10.859323, -10.859323, -9.802247, -9.802247, -17.150829, -17.150829, -18.350674, -18.350674, -17.68401]",False
CrA,9,"['91875', '92989', '92989', '93174', '93174', '93825', '93825', '94114', '94114', '94160', '94160', '94005', '94005', '93542', '93542', '92953', '91875', '90887']",Corona Australis,"[18.729706, 18.944582, 18.944582, 18.978721, 18.978721, 19.106971, 19.106971, 19.157869, 19.157869, 19.167154, 19.167154, 19.139156, 19.139156, 19.051907, 19.051907, 18.938044, 18.729706, 18.539257]","[-38.323441, -37.343241, -37.343241, -37.107357, -37.107357, -37.063437, -37.063437, -37.904474, -37.904474, -39.34079600000001, -39.34079600000001, -40.496703, -40.496703, -42.095105, -42.095105, -42.710676, -38.323441, -39.704001]",False
CrB,6,"['76127', '75695', '75695', '76267', '76267', '76952', '76952', '77512', '77512', '78159', '78159', '78493']",Corona Borealis,"[15.548829, 15.463818, 15.463818, 15.578128, 15.578128, 15.712381, 15.712381, 15.826570000000002, 15.826570000000002, 15.959794, 15.959794, 16.024047]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061]",False
Crv,6,"['61174', '60965', '60965', '59803', '59803', '59316', '59316', '59199', '59316', '61359', '61359', '60965']",Corvus,"[12.53451, 12.497739, 12.497739, 12.263437, 12.263437, 12.168746, 12.168746, 12.140225, 12.168746, 12.573121, 12.573121, 12.497739]","[-16.196007, -16.515432, -16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -22.619766, -23.396759, -23.396759, -16.515432]",False
Cru,2,"['61084', '60718', '62434', '59747']",Crux,"[12.519429, 12.443311, 12.795359, 12.252427]","[-57.113212, -63.09909200000001, -59.688764, -58.748928]",False
Cyg,9,"['94779', '95853', '95853', '97165', '97165', '100453', '100453', '102098', '100453', '102488', '102488', '104732', '104732', '107310', '100453', '98110', '98110', '95947']",Cygnus,"[19.28504, 19.495098, 19.495098, 19.749574, 19.749574, 20.370473, 20.370473, 20.690532, 20.370473, 20.770178, 20.770178, 21.215607, 21.215607, 21.73571, 20.370473, 19.938438, 19.938438, 19.512023000000006]","[53.368459, 51.729779, 51.729779, 45.13081, 45.13081, 40.256679, 40.256679, 45.280338, 40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 28.742632, 40.256679, 35.083424, 35.083424, 27.959681]",False
Del,5,"['101421', '101769', '101769', '101958', '101958', '102532', '102532', '102281', '102281', '101769']",Delphinus,"[20.553547, 20.625816, 20.625816, 20.660635, 20.660635, 20.77764, 20.77764, 20.724315, 20.724315, 20.625816]","[11.303263, 14.595087, 14.595087, 15.912072, 15.912072, 16.124295999999998, 16.124295999999998, 15.074581, 15.074581, 14.595087]",False
Dor,5,"['27100', '27890', '27890', '26069', '26069', '27100', '26069', '21281', '21281', '19893']",Dorado,"[5.7462230000000005, 5.901658, 5.901658, 5.560421, 5.560421, 5.7462230000000005, 5.560421, 4.566598, 4.566598, 4.267097]","[-65.73552600000001, -63.089627, -63.089627, -62.489825, -62.489825, -65.73552600000001, -62.489825, -55.044975, -55.044975, -51.486648]",False
Dra,15,"['87585', '87833', '87833', '85670', '85670', '85829', '85829', '87585', '87585', '94376', '94376', '97433', '97433', '94648', '94648', '89937', '89937', '83895', '83895', '80331', '80331', '78527', '78527', '75458', '75458', '68756', '68756', '61281', '61281', '56211']",Draco,"[17.892134, 17.943437, 17.943437, 17.507213, 17.507213, 17.537767000000002, 17.537767000000002, 17.892134, 17.892134, 19.209225, 19.209225, 19.80285, 19.80285, 19.259229, 19.259229, 18.350736, 18.350736, 17.146448, 17.146448, 16.39986, 16.39986, 16.031532000000002, 16.031532000000002, 15.415494, 15.415494, 14.073165, 14.073165, 12.558058, 12.558058, 11.523407]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 73.355468, 73.355468, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]",False
Nor,5,"['79509', '80000', '80000', '80582', '80582', '78639', '78639', '80000', '78639', '79509']",Norma,"[16.224648000000002, 16.330687, 16.330687, 16.453067, 16.453067, 16.053579, 16.053579, 16.330687, 16.053579, 16.224648000000002]","[-54.630467, -50.15550800000001, -50.15550800000001, -47.554786, -47.554786, -49.229695, -49.229695, -50.15550800000001, -49.229695, -54.630467]",False
Eri,27,"['7588', '9007', '9007', '10602', '10602', '11407', '11407', '12413', '12413', '12486', '12486', '13847', '13847', '15510', '15510', '17797', '17797', '17874', '17874', '20042', '20042', '20535', '20535', '21393', '21393', '17651', '17651', '16611', '16611', '15474', '15474', '14146', '14146', '12843', '12843', '13701', '13701', '15197', '15197', '16537', '16537', '17378', '17378', '21444', '21444', '22109', '22109', '22701', '22701', '23875', '23875', '23972', '23972', '21594']",Eridanus,"[1.628556, 1.932564, 1.932564, 2.275154, 2.275154, 2.449755, 2.449755, 2.663326, 2.663326, 2.677781, 2.677781, 2.971023, 2.971023, 3.331944, 3.331944, 3.809963, 3.809963, 3.824237, 3.824237, 4.298237, 4.298237, 4.400613, 4.400613, 4.592512, 4.592512, 3.780804, 3.780804, 3.563132, 3.563132, 3.325278, 3.325278, 3.039863, 3.039863, 2.7517150000000004, 2.7517150000000004, 2.940458, 2.940458, 3.263896, 3.263896, 3.5488480000000004, 3.5488480000000004, 3.720806, 3.720806, 4.6053169999999986, 4.6053169999999986, 4.758375, 4.758375, 4.881575, 4.881575, 5.130829, 5.130829, 5.15244, 5.15244, 4.6363400000000015]","[-57.236757, -51.608896, -51.608896, -51.512165, -51.512165, -47.70384, -47.70384, -42.89167, -42.89167, -39.855375, -39.855375, -40.304672, -40.304672, -43.06978400000001, -43.06978400000001, -37.620155, -37.620155, -36.20025, -36.20025, -33.798348, -33.798348, -34.016846, -34.016846, -30.562341, -30.562341, -23.249723, -23.249723, -21.632883, -21.632883, -21.757864, -21.757864, -23.624472, -23.624472, -18.572563, -18.572563, -8.898144, -8.898144, -8.81973, -8.81973, -9.458262, -9.458262, -9.763395, -9.763395, -3.352459, -3.352459, -3.254657, -3.254657, -5.4526949999999985, -5.4526949999999985, -5.086446, -5.086446, -8.754081, -8.754081, -14.30402]",False
Sge,4,"['96837', '97365', '97365', '96757', '97365', '98337', '98337', '98920']",Sagitta,"[19.68415, 19.789795, 19.789795, 19.668275, 19.789795, 19.979285, 19.979285, 20.08597]","[17.476041, 18.534286, 18.534286, 18.01389, 18.534286, 19.492148, 19.492148, 19.991071]",False
For,1,"['13147', '14879']",Fornax,"[2.818169, 3.201249]","[-32.405898, -28.987618]",False
Gem,16,"['31681', '34088', '34088', '35550', '35550', '35350', '35350', '32362', '35550', '36962', '36962', '37740', '36962', '37826', '36962', '36046', '36046', '34693', '34693', '36850', '34693', '33018', '34693', '32246', '32246', '30883', '32246', '30343', '30343', '29655', '29655', '28734']",Gemini,"[6.628528, 7.0684809999999985, 7.0684809999999985, 7.335383, 7.335383, 7.30155, 7.30155, 6.754824, 7.335383, 7.598708, 7.598708, 7.740792999999999, 7.598708, 7.755277, 7.598708, 7.428779, 7.428779, 7.1856589999999985, 7.1856589999999985, 7.5766339999999985, 7.1856589999999985, 6.879816, 7.1856589999999985, 6.732202, 6.732202, 6.482719, 6.732202, 6.3826730000000005, 6.3826730000000005, 6.247961, 6.247961, 6.068671]","[16.399252, 20.570297, 20.570297, 21.98232, 21.98232, 16.540383, 16.540383, 12.895591, 21.98232, 26.895741, 26.895741, 24.397993, 26.895741, 28.026199, 26.895741, 27.79808, 27.79808, 30.245163, 30.245163, 31.888276, 30.245163, 33.961254, 30.245163, 25.131124, 25.131124, 20.212133, 25.131124, 22.513586, 22.513586, 22.506799, 22.506799, 23.263341]",True
Cam,5,"['16228', '18505', '18505', '22783', '16228', '17959', '17959', '22783', '17959', '25110']",Camelopardalis,"[3.484482, 3.957067, 3.957067, 4.900836, 3.484482, 3.839302, 3.839302, 4.900836, 3.839302, 5.376036]","[59.94033, 63.072264, 63.072264, 66.342678, 59.94033, 71.332266, 71.332266, 66.342678, 71.332266, 79.231149]",False
CMa,17,"['33160', '34045', '34045', '33347', '33347', '32349', '32349', '33977', '33977', '34444', '34444', '35037', '35037', '35904', '33579', '33856', '33856', '34444', '33856', '33165', '33165', '31592', '31592', '31416', '31592', '30324', '31592', '32349', '33579', '32759', '30122', '33579', '33347', '33160']",Canis Major,"[6.903167, 7.062637, 7.062637, 6.935617999999999, 6.935617999999999, 6.752481, 6.752481, 7.050408999999998, 7.050408999999998, 7.139857000000001, 7.139857000000001, 7.246849, 7.246849, 7.401584, 6.9770970000000005, 7.028652, 7.028652, 7.139857000000001, 7.028652, 6.903623, 6.903623, 6.6113990000000005, 6.6113990000000005, 6.5842740000000015, 6.6113990000000005, 6.378329, 6.6113990000000005, 6.752481, 6.9770970000000005, 6.8306830000000005, 6.338553, 6.9770970000000005, 6.935617999999999, 6.903167]","[-12.038628, -15.633285999999998, -15.633285999999998, -17.054242000000002, -17.054242000000002, -16.716116, -16.716116, -23.833291, -23.833291, -26.3932, -26.3932, -26.772667, -26.772667, -29.303104, -28.972084, -27.93483, -27.93483, -26.3932, -27.93483, -23.928336, -23.928336, -19.255879, -19.255879, -22.964793, -19.255879, -17.955918, -19.255879, -16.716116, -28.972084, -32.508478000000004, -30.063367, -28.972084, -17.054242000000002, -12.038628]",False
UMa,19,"['67301', '65378', '65378', '62956', '62956', '59774', '59774', '54061', '54061', '53910', '53910', '58001', '58001', '59774', '58001', '57399', '57399', '54539', '54539', '50372', '54539', '50801', '53910', '48402', '48402', '46853', '46853', '44471', '46853', '44127', '48402', '48319', '48319', '41704', '41704', '46733', '46733', '54061']",Ursa Major,"[13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086, 11.897168, 11.767515, 11.767515, 11.161062, 11.161062, 10.284952, 11.161062, 10.372155, 11.030677, 9.868433, 9.868433, 9.547715, 9.547715, 9.060427, 9.547715, 8.986828, 9.868433, 9.849867, 9.849867, 8.504431, 8.504431, 9.525453, 9.525453, 11.062155]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 53.69476, 47.779406, 47.779406, 44.498487, 44.498487, 42.914365, 44.498487, 41.499516, 56.382427, 54.06433199999999, 54.06433199999999, 51.6773, 51.6773, 47.156525, 51.6773, 48.041826, 54.06433199999999, 59.038735, 59.038735, 60.718169, 60.718169, 63.061861, 63.061861, 61.75103299999999]",False
Gru,9,"['114131', '110997', '110997', '109268', '109268', '112122', '112122', '114421', '114421', '114131', '112122', '113638', '112122', '112623', '109268', '109111', '109111', '108085']",Grus,"[23.11465, 22.487825, 22.487825, 22.137209, 22.137209, 22.711115, 22.711115, 23.17264, 23.17264, 23.11465, 22.711115, 23.014677, 22.711115, 22.809239, 22.137209, 22.101914, 22.101914, 21.898808]","[-43.520358, -43.495565, -43.495565, -46.960975, -46.960975, -46.884577, -46.884577, -45.246711, -45.246711, -43.520358, -46.884577, -52.754137, -46.884577, -51.316864, -46.960975, -39.543353, -39.543353, -37.364852]",False
Her,18,"['86414', '87808', '87808', '85112', '85112', '84606', '84606', '84380', '84380', '81833', '81833', '81126', '81126', '79992', '79992', '77760', '81833', '81693', '81693', '80816', '80816', '80170', '81693', '83207', '83207', '85693', '85693', '84379', '86974', '87933', '87933', '88794', '83207', '84380', '86974', '85693']",Hercules,"[17.657747, 17.93755, 17.93755, 17.394707999999998, 17.394707999999998, 17.294517000000006, 17.294517000000006, 17.250788, 17.250788, 16.714933, 16.714933, 16.568384, 16.568384, 16.329010999999998, 16.329010999999998, 15.877903, 16.714933, 16.688113, 16.688113, 16.503667999999998, 16.503667999999998, 16.365338, 16.688113, 17.004827, 17.004827, 17.512307999999994, 17.512307999999994, 17.250531, 17.774319000000006, 17.962744, 17.962744, 18.125708, 17.004827, 17.250788, 17.774319000000006, 17.512307999999994]","[46.006332, 37.250539, 37.250539, 37.145946, 37.145946, 37.291498, 37.291498, 36.809162, 36.809162, 38.922254, 38.922254, 42.437041, 42.437041, 46.313366, 46.313366, 42.451518, 38.922254, 31.602726, 31.602726, 21.489613, 21.489613, 19.15313, 31.602726, 30.926405, 30.926405, 26.110645, 26.110645, 24.839204, 27.720676, 29.24788, 29.24788, 28.762488, 30.926405, 36.809162, 27.720676, 26.110645]",False
Hor,2,"['19747', '12484', '12484', '14240']",Horologium,"[4.233363, 2.677666, 2.677666, 3.060239]","[-42.294368, -54.549911, -54.549911, -59.737775]",False
Hya,18,"['42799', '42402', '42402', '42313', '42313', '43109', '43109', '43234', '43234', '42799', '43234', '43813', '43813', '45336', '45336', '46776', '46776', '46509', '46509', '46390', '46390', '48356', '48356', '49841', '49841', '51069', '51069', '52943', '52943', '56343', '56343', '57936', '57936', '64166', '64166', '64962']",Hydra,"[8.720410000000001, 8.645955, 8.645955, 8.627602, 8.627602, 8.779587, 8.779587, 8.807214, 8.807214, 8.720410000000001, 8.807214, 8.92323, 8.92323, 9.239405, 9.239405, 9.533036, 9.533036, 9.485805, 9.485805, 9.45979, 9.45979, 9.85797, 9.85797, 10.176467, 10.176467, 10.434842, 10.434842, 10.827079, 10.827079, 11.550038, 11.550038, 11.881813, 11.881813, 13.150909, 13.150909, 13.315359]","[3.3986620000000003, 3.341435, 3.341435, 5.703782, 5.703782, 6.418809, 6.418809, 5.837812, 5.837812, 3.3986620000000003, 5.837812, 5.945563, 5.945563, 2.31428, 2.31428, -1.184664, -1.184664, -2.768964, -2.768964, -8.658603, -8.658603, -14.846603, -14.846603, -12.354083, -12.354083, -16.836289999999998, -16.836289999999998, -16.193648, -16.193648, -31.857625, -31.857625, -33.908124, -33.908124, -23.11807, -23.11807, -23.171512]",False
Hyi,4,"['2021', '17678', '17678', '12394', '12394', '11001', '11001', '9236']",Hydrus,"[0.427916, 3.787295, 3.787295, 2.659799, 2.659799, 2.362498, 2.362498, 1.979451]","[-77.25424699999998, -74.238962, -74.238962, -68.26694599999999, -68.26694599999999, -68.659418, -68.659418, -61.569859]",False
Ind,3,"['105319', '101772', '101772', '103227', '103227', '105319']",Indus,"[21.331096, 20.626116, 20.626116, 20.913498, 20.913498, 21.331096]","[-53.449427, -47.291502, -47.291502, -58.45415500000001, -58.45415500000001, -53.449427]",False
Lac,6,"['109937', '111104', '111104', '111022', '111022', '110609', '110609', '110538', '110538', '111169', '111169', '111022']",Lacerta,"[22.26616, 22.508128, 22.508128, 22.492173, 22.492173, 22.408609, 22.408609, 22.392675, 22.392675, 22.521515, 22.521515, 22.492173]","[37.748737, 43.123376, 43.123376, 47.706887, 47.706887, 49.476392, 49.476392, 52.229046, 52.229046, 50.282491, 50.282491, 47.706887]",False
Mon,6,"['29651', '30867', '30867', '34769', '34769', '30419', '30419', '29151', '34769', '39863', '39863', '37447']",Monoceros,"[6.247592, 6.480297, 6.480297, 7.197739, 7.197739, 6.396135, 6.396135, 6.149418, 7.197739, 8.143236, 8.143236, 7.687454]","[-6.274776, -7.033061999999998, -7.033061999999998, -0.492764, -0.492764, 4.592865, 4.592865, 2.499692, -0.492764, -2.9837860000000003, -2.9837860000000003, -9.551131]",False
Lep,14,"['28910', '28103', '28103', '27288', '27288', '25985', '25985', '24305', '25985', '27654', '27654', '27072', '27072', '25606', '25606', '23685', '25985', '25606', '24305', '24845', '24305', '24327', '23685', '24305', '24327', '24244', '24845', '24873']",Lepus,"[6.10259, 5.940082, 5.940082, 5.782595, 5.782595, 5.545504, 5.545504, 5.215528, 5.545504, 5.855357, 5.855357, 5.741057, 5.741057, 5.470756, 5.470756, 5.091018, 5.545504, 5.470756, 5.215528, 5.326257, 5.215528, 5.220522, 5.091018, 5.215528, 5.220522, 5.204973000000002, 5.326257, 5.333062]","[-14.935254, -14.1677, -14.1677, -14.82195, -14.82195, -17.822289, -17.822289, -16.205468, -17.822289, -20.879089, -20.879089, -22.448382, -22.448382, -20.759441, -20.759441, -22.371032, -17.822289, -20.759441, -16.205468, -13.176788, -16.205468, -12.941291, -22.371032, -16.205468, -12.941291, -11.869219, -13.176788, -12.315585]",False
