22.86667 +34.50000 And
 4.50000 +36.00000 Aur  Per
 4.69167 +36.00000 Aur  Per
 4.69167 +52.50000 Aur  Per
 5.00000 +52.50000 Aur  Cam
 5.00000 +56.00000 Aur  Cam
 6.10000 +56.00000 Aur  Cam
 6.10000 +54.00000 Aur  Lyn
 6.50000 +54.00000 Aur  Lyn
 6.50000 +50.00000 Aur  Lyn
 6.80000 +50.00000 Aur  Lyn
 6.80000 +44.50000 Aur  Lyn
 7.36667 +44.50000 Aur  Lyn
 7.36667 +35.50000 Aur  Lyn
 6.53333 +35.50000 Aur  Gem
 6.53333 +28.00000 Aur  Gem
 5.88333 +28.00000 Aur  Gem
 5.88333 +28.50000 Aur  Tau
 4.75000 +28.50000 Aur  Tau
 4.75000 +30.00000 Aur  Tau
 4.50000 +30.00000 Aur  Tau
 4.50000 +30.66667 Aur  Tau
15.08333 +08.00000 Boo
13.50000 +08.00000 Boo  Vir
13.50000 +15.00000 Boo  Vir
13.50000 +28.50000 Boo  Com
13.95833 +28.50000 Boo  CVn
13.95833 +30.75000 Boo  CVn
14.03333 +30.75000 Boo  CVn
14.03333 +48.50000 Boo  CVn
14.03333 +55.50000 Boo  UMa
14.41667 +55.50000 Boo  UMa
15.25000 +55.50000 Boo  Dra
15.25000 +53.00000 Boo  Dra
15.75000 +53.00000 Boo  Dra
15.75000 +51.50000 Boo  Dra
15.75000 +40.00000 Boo  Her
15.43333 +40.00000 Boo  CrB
15.43333 +33.00000 Boo  CrB
15.18333 +33.00000 Boo  CrB
15.18333 +26.00000 Boo  CrB
15.08333 +26.00000 Boo  Ser1
15.08333 +08.00000 Boo  Ser1
 4.26667 -40.00000 Cae
 4.26667 -37.00000 Cae  Eri
 4.58333 -37.00000 Cae  Eri
 4.58333 -30.00000 Cae  Eri
 4.70000 -30.00000 Cae  Eri
 4.70000 -27.25000 Cae  Eri
 4.83333 -27.25000 Cae  Eri
 5.00000 -27.25000 Cae  Lep
 5.00000 -43.00000 Cae  Col
 4.83333 -43.00000 Cae  Pic
 4.83333 -46.50000 Cae  Pic
 4.50000 -46.50000 Cae  Pic
 4.50000 -49.00000 Cae  Pic
 4.26667 -49.00000 Cae  Dor
 4.26667 -40.00000 Cae  Hor
 6.10000 +56.00000 Cam
 5.00000 +56.00000 Cam  Aur
 5.00000 +52.50000 Cam  Aur
 4.69167 +52.50000 Cam  Aur
 3.33333 +52.50000 Cam  Per
 3.33333 +55.00000 Cam  Per
 3.16667 +55.00000 Cam  Per
 3.16667 +57.00000 Cam  Per
 3.10000 +57.00000 Cam  Per
 3.10000 +68.00000 Cam  Cas
 3.41667 +68.00000 Cam  Cas
 3.41667 +77.00000 Cam  Cas
 3.50833 +77.00000 Cam  Cep
 3.50833 +80.00000 Cam  Cep
 5.00000 +80.00000 Cam  Cep
 5.00000 +85.00000 Cam  Cep
 8.00000 +85.00000 Cam  Cep
 8.00000 +86.50000 Cam  Cep
14.50000 +86.50000 Cam  UMi
14.50000 +80.00000 Cam  UMi
13.58333 +80.00000 Cam  UMi
13.58333 +77.00000 Cam  UMi
13.00000 +77.00000 Cam  UMi
11.50000 +77.00000 Cam  Dra
11.50000 +80.00000 Cam  Dra
10.66667 +80.00000 Cam  Dra
10.66667 +82.00000 Cam  Dra
 9.16667 +82.00000 Cam  Dra
 9.16667 +73.50000 Cam  Dra
 7.96667 +73.50000 Cam  UMa
 7.96667 +60.00000 Cam  UMa
 7.00000 +60.00000 Cam  Lyn
 7.00000 +62.00000 Cam  Lyn
 6.10000 +62.00000 Cam  Lyn
 6.10000 +56.00000 Cam  Lyn
 9.25000 +07.00000 Cnc
 8.08333 +07.00000 Cnc  Hya
 7.92500 +07.00000 Cnc  CMi
 7.92500 +10.00000 Cnc  CMi
 7.80833 +10.00000 Cnc  CMi
 7.80833 +13.50000 Cnc  CMi
 7.80833 +20.00000 Cnc  Gem
 7.88333 +20.00000 Cnc  Gem
 7.88333 +28.00000 Cnc  Gem
 8.00000 +28.00000 Cnc  Gem
 8.00000 +33.50000 Cnc  Gem
 9.25000 +33.50000 Cnc  Lyn
 9.25000 +07.00000 Cnc  Leo
12.00000 +34.00000 CVn
12.00000 +45.00000 CVn  UMa
12.08333 +45.00000 CVn  UMa
12.08333 +53.00000 CVn  UMa
13.50000 +53.00000 CVn  UMa
13.50000 +48.50000 CVn  UMa
14.03333 +48.50000 CVn  UMa
14.03333 +30.75000 CVn  Boo
13.95833 +30.75000 CVn  Boo
13.95833 +28.50000 CVn  Boo
13.50000 +28.50000 CVn  Boo
13.25000 +28.50000 CVn  Com
13.25000 +32.00000 CVn  Com
12.33333 +32.00000 CVn  Com
12.33333 +34.00000 CVn  Com
12.00000 +34.00000 CVn  Com
 6.11667 -11.00000 CMa
 7.36667 -11.00000 CMa  Mon
 7.36667 -33.00000 CMa  Pup
 6.58333 -33.00000 CMa  Pup
 6.11667 -33.00000 CMa  Col
 6.11667 -27.25000 CMa  Col
 6.11667 -11.00000 CMa  Lep
 8.08333 -00.00000 CMi
 7.20000 -00.00000 CMi  Mon
 7.20000 +01.50000 CMi  Mon
 7.01667 +01.50000 CMi  Mon
 7.01667 +05.50000 CMi  Mon
 7.00000 +05.50000 CMi  Mon
 7.00000 +10.00000 CMi  Mon
 7.00000 +12.50000 CMi  Gem
 7.50000 +12.50000 CMi  Gem
 7.50000 +13.50000 CMi  Gem
 7.80833 +13.50000 CMi  Gem
 7.80833 +10.00000 CMi  Cnc
 7.92500 +10.00000 CMi  Cnc
 7.92500 +07.00000 CMi  Cnc
 8.08333 +07.00000 CMi  Cnc
 8.08333 -00.00000 CMi  Hya
20.53333 -09.00000 Cap
20.53333 -15.00000 Cap  Aqr
21.33333 -15.00000 Cap  Aqr
21.33333 -09.00000 Cap  Aqr
21.86667 -09.00000 Cap  Aqr
21.86667 -25.50000 Cap  Aqr
21.33333 -25.50000 Cap  PsA
21.33333 -28.00000 Cap  PsA
20.33333 -28.00000 Cap  Mic
20.00000 -28.00000 Cap  Sgr
20.00000 -12.03333 Cap  Sgr
20.00000 -09.00000 Cap  Aql
20.53333 -09.00000 Cap  Aql
11.25000 -56.50000 Car
11.25000 -64.00000 Car  Cen
11.25000 -75.00000 Car  Mus
 9.03333 -75.00000 Car  Cha
 9.03333 -64.00000 Car  Vol
 6.83333 -64.00000 Car  Vol
 6.83333 -58.00000 Car  Pic
 6.50000 -58.00000 Car  Pic
 6.50000 -55.00000 Car  Pic
 6.16667 -55.00000 Car  Pic
 6.16667 -52.50000 Car  Pic
 6.00000 -52.50000 Car  Pic
 6.00000 -50.75000 Car  Pic
 8.00000 -50.75000 Car  Pup
 8.16667 -50.75000 Car  Vel
 8.16667 -53.00000 Car  Vel
 8.45000 -53.00000 Car  Vel
 8.45000 -54.50000 Car  Vel
 8.83333 -54.50000 Car  Vel
 8.83333 -56.50000 Car  Vel
11.00000 -56.50000 Car  Vel
11.25000 -56.50000 Car  Cen
22.86667 +52.50000 Cas
22.86667 +56.25000 Cas  Lac
22.86667 +59.08333 Cas  Cep
23.16667 +59.08333 Cas  Cep
23.16667 +63.00000 Cas  Cep
23.58333 +63.00000 Cas  Cep
23.58333 +66.00000 Cas  Cep
 0.33333 +66.00000 Cas  Cep
 0.33333 +77.00000 Cas  Cep
 3.41667 +77.00000 Cas  Cep
 3.41667 +68.00000 Cas  Cam
 3.10000 +68.00000 Cas  Cam
 3.10000 +57.00000 Cas  Cam
 2.43333 +57.00000 Cas  Per
 2.43333 +58.50000 Cas  Per
 1.90833 +58.50000 Cas  Per
 1.90833 +57.50000 Cas  Per
 1.70000 +57.50000 Cas  Per
 1.70000 +54.00000 Cas  Per
 1.36667 +54.00000 Cas  Per
 1.36667 +50.00000 Cas  Per
 1.11667 +50.00000 Cas  And
 1.11667 +48.00000 Cas  And
 0.86667 +48.00000 Cas  And
 0.86667 +46.00000 Cas  And
 0.16667 +46.00000 Cas  And
 0.16667 +48.00000 Cas  And
23.58333 +48.00000 Cas  And
23.58333 +50.00000 Cas  And
23.33333 +50.00000 Cas  And
23.33333 +52.50000 Cas  And
22.86667 +52.50000 Cas  And
11.00000 -35.00000 Cen
12.25000 -35.00000 Cen  Hya
12.25000 -33.00000 Cen  Hya
12.58333 -33.00000 Cen  Hya
12.58333 -29.50000 Cen  Hya
14.91667 -29.50000 Cen  Hya
14.91667 -42.00000 Cen  Lup
14.16667 -42.00000 Cen  Lup
14.16667 -55.00000 Cen  Lup
14.53333 -55.00000 Cen  Lup
14.53333 -64.00000 Cen  Cir
13.50000 -64.00000 Cen  Cir
12.83333 -64.00000 Cen  Mus
12.83333 -55.00000 Cen  Cru
11.83333 -55.00000 Cen  Cru
11.83333 -64.00000 Cen  Cru
11.25000 -64.00000 Cen  Mus
11.25000 -56.50000 Cen  Car
11.00000 -56.50000 Cen  Car
11.00000 -39.75000 Cen  Vel
11.00000 -35.00000 Cen  Ant
20.00000 +59.50000 Cep
20.00000 +61.50000 Cep  Dra
20.41667 +61.50000 Cep  Dra
20.41667 +67.00000 Cep  Dra
20.66667 +67.00000 Cep  Dra
20.66667 +75.00000 Cep  Dra
20.16667 +75.00000 Cep  Dra
20.16667 +80.00000 Cep  Dra
21.00000 +80.00000 Cep  Dra
21.00000 +86.00000 Cep  Dra
21.00000 +86.16666 Cep  UMi
23.00000 +86.16666 Cep  UMi
23.00000 +88.00000 Cep  UMi
 8.00000 +88.00000 Cep  UMi
 8.00000 +86.50000 Cep  UMi
 8.00000 +85.00000 Cep  Cam
 5.00000 +85.00000 Cep  Cam
 5.00000 +80.00000 Cep  Cam
 3.50833 +80.00000 Cep  Cam
 3.50833 +77.00000 Cep  Cam
 3.41667 +77.00000 Cep  Cam
 0.33333 +77.00000 Cep  Cas
 0.33333 +66.00000 Cep  Cas
23.58333 +66.00000 Cep  Cas
23.58333 +63.00000 Cep  Cas
23.16667 +63.00000 Cep  Cas
23.16667 +59.08333 Cep  Cas
22.86667 +59.08333 Cep  Cas
22.86667 +56.25000 Cep  Cas
22.31667 +56.25000 Cep  Lac
22.31667 +55.00000 Cep  Lac
22.13333 +55.00000 Cep  Lac
22.13333 +52.75000 Cep  Lac
21.96667 +52.75000 Cep  Lac
21.96667 +54.83333 Cep  Cyg
20.60000 +54.83333 Cep  Cyg
20.60000 +60.91667 Cep  Cyg
20.53667 +60.91667 Cep  Cyg
20.53667 +59.50000 Cep  Cyg
20.00000 +59.50000 Cep  Cyg
 0.33333 -00.00000 Cet
 0.33333 +02.00000 Cet  Psc
 2.00000 +02.00000 Cet  Psc
 2.00000 +09.91667 Cet  Psc
 3.28333 +09.91667 Cet  Ari
 3.28333 -00.00000 Cet  Tau
 3.28333 -01.75000 Cet  Tau
 2.65000 -01.75000 Cet  Eri
 2.65000 -24.38333 Cet  Eri
 1.66667 -24.38333 Cet  For
 1.66667 -25.50000 Cet  For
23.83333 -25.50000 Cet  Scl
23.83333 -07.00000 Cet  Aqr
 0.33333 -07.00000 Cet  Psc
 0.33333 -00.00000 Cet  Psc
 7.66667 -82.50000 Cha
 7.66667 -75.00000 Cha  Men
 9.03333 -75.00000 Cha  Vol
11.25000 -75.00000 Cha  Car
13.66667 -75.00000 Cha  Mus
13.66667 -82.50000 Cha  Aps
 7.66667 -82.50000 Cha  Oct
13.50000 -64.00000 Cir
14.53333 -64.00000 Cir  Cen
14.53333 -55.00000 Cir  Cen
15.05000 -55.00000 Cir  Lup
15.33333 -55.00000 Cir  Nor
15.33333 -60.00000 Cir  Nor
15.33333 -61.00000 Cir  TrA
15.16667 -61.00000 Cir  TrA
15.16667 -63.58333 Cir  TrA
14.91667 -63.58333 Cir  TrA
14.91667 -67.50000 Cir  TrA
14.75000 -67.50000 Cir  TrA
14.75000 -70.00000 Cir  TrA
13.66667 -70.00000 Cir  Aps
13.66667 -65.00000 Cir  Mus
13.50000 -65.00000 Cir  Mus
13.50000 -64.00000 Cir  Mus
 5.00000 -43.00000 Col
 5.00000 -27.25000 Col  Cae
 6.11667 -27.25000 Col  Lep
 6.11667 -33.00000 Col  CMa
 6.58333 -33.00000 Col  CMa
 6.58333 -43.00000 Col  Pup
 6.00000 -43.00000 Col  Pup
 5.00000 -43.00000 Col  Pic
11.86667 +14.00000 Com
11.86667 +29.00000 Com  Leo
12.00000 +29.00000 Com  UMa
12.00000 +34.00000 Com  UMa
12.33333 +34.00000 Com  CVn
12.33333 +32.00000 Com  CVn
13.25000 +32.00000 Com  CVn
13.25000 +28.50000 Com  CVn
13.50000 +28.50000 Com  CVn
13.50000 +15.00000 Com  Boo
12.83333 +15.00000 Com  Vir
12.83333 +14.00000 Com  Vir
11.86667 +14.00000 Com  Vir
17.83333 -37.00000 Cra
19.16667 -37.00000 Cra  Sgr
19.16667 -45.50000 Cra  Sgr
18.00000 -45.50000 Cra  Tel
17.83333 -45.50000 Cra  Ara
17.83333 -37.00000 Cra  Sco
15.18333 +26.00000 CrB
15.18333 +33.00000 CrB  Boo
15.43333 +33.00000 CrB  Boo
15.43333 +40.00000 CrB  Boo
15.75000 +40.00000 CrB  Boo
16.33333 +40.00000 CrB  Her
16.33333 +27.00000 CrB  Her
16.16667 +27.00000 CrB  Her
16.16667 +26.00000 CrB  Her
16.03333 +26.00000 CrB  Her
15.18333 +26.00000 CrB  Ser1
12.83333 -11.00000 Crv
12.83333 -22.00000 Crv  Vir
12.58333 -22.00000 Crv  Hya
12.58333 -24.50000 Crv  Hya
11.83333 -24.50000 Crv  Hya
11.83333 -11.00000 Crv  Crt
12.83333 -11.00000 Crv  Vir
10.75000 -06.00000 Crt
11.51667 -06.00000 Crt  Leo
11.83333 -06.00000 Crt  Vir
11.83333 -11.00000 Crt  Vir
11.83333 -24.50000 Crt  Crv
10.83333 -24.50000 Crt  Hya
10.83333 -19.00000 Crt  Hya
10.75000 -19.00000 Crt  Hya
10.75000 -11.00000 Crt  Hya
10.75000 -06.00000 Crt  Sex
11.83333 -55.00000 Cru
12.83333 -55.00000 Cru  Cen
12.83333 -64.00000 Cru  Cen
11.83333 -64.00000 Cru  Mus
11.83333 -55.00000 Cru  Cen
19.25833 +27.50000 Cyg
19.25833 +30.00000 Cyg  Lyr
19.35833 +30.00000 Cyg  Lyr
19.35833 +36.50000 Cyg  Lyr
19.40000 +36.50000 Cyg  Lyr
19.40000 +43.50000 Cyg  Lyr
19.16667 +43.50000 Cyg  Lyr
19.16667 +47.50000 Cyg  Lyr
19.08333 +47.50000 Cyg  Lyr
19.08333 +55.50000 Cyg  Dra
19.41667 +55.50000 Cyg  Dra
19.41667 +58.00000 Cyg  Dra
19.76667 +58.00000 Cyg  Dra
19.76667 +59.50000 Cyg  Dra
20.00000 +59.50000 Cyg  Dra
20.53667 +59.50000 Cyg  Cep
20.53667 +60.91667 Cyg  Cep
20.60000 +60.91667 Cyg  Cep
20.60000 +54.83333 Cyg  Cep
21.96667 +54.83333 Cyg  Cep
21.96667 +52.75000 Cyg  Cep
21.96667 +44.00000 Cyg  Lac
21.90833 +44.00000 Cyg  Lac
21.90833 +43.75000 Cyg  Lac
21.87500 +43.75000 Cyg  Lac
21.87500 +36.00000 Cyg  Lac
21.73333 +36.00000 Cyg  Peg
21.73333 +28.00000 Cyg  Peg
21.41667 +28.00000 Cyg  Peg
20.91667 +28.00000 Cyg  Vul
20.91667 +29.00000 Cyg  Vul
19.66667 +29.00000 Cyg  Vul
19.66667 +27.50000 Cyg  Vul
19.25833 +27.50000 Cyg  Vul
20.53333 +02.00000 Del
20.30000 +02.00000 Del  Aql
20.30000 +08.50000 Del  Aql
20.14167 +08.50000 Del  Aql
20.14167 +15.75000 Del  Aql
20.25000 +15.75000 Del  Sge
20.25000 +20.50000 Del  Sge
20.56667 +20.50000 Del  Vul
20.56667 +19.50000 Del  Vul
21.05000 +19.50000 Del  Vul
21.05000 +11.83333 Del  Peg
20.87500 +11.83333 Del  Equ
20.87500 +06.00000 Del  Equ
20.83333 +06.00000 Del  Equ
20.83333 +02.00000 Del  Equ
20.53333 +02.00000 Del  Aqr
 3.83333 -53.16667 Dor
 3.83333 -51.00000 Dor  Hor
 4.08333 -51.00000 Dor  Hor
 4.08333 -49.00000 Dor  Hor
 4.26667 -49.00000 Dor  Hor
 4.50000 -49.00000 Dor  Cae
 4.50000 -54.00000 Dor  Pic
 5.00000 -54.00000 Dor  Pic
 5.00000 -57.50000 Dor  Pic
 5.50000 -57.50000 Dor  Pic
 5.50000 -61.00000 Dor  Pic
 6.00000 -61.00000 Dor  Pic
 6.00000 -64.00000 Dor  Pic
 6.58333 -64.00000 Dor  Pic
 6.58333 -70.00000 Dor  Vol
 4.58333 -70.00000 Dor  Men
 4.58333 -67.50000 Dor  Hyi
 4.58333 -59.00000 Dor  Ret
 4.33333 -59.00000 Dor  Ret
 4.33333 -56.50000 Dor  Ret
 4.00000 -56.50000 Dor  Ret
 4.00000 -53.16667 Dor  Ret
 3.83333 -53.16667 Dor  Ret
 9.16667 +73.50000 Dra
 9.16667 +82.00000 Dra  Cam
10.66667 +82.00000 Dra  Cam
10.66667 +80.00000 Dra  Cam
11.50000 +80.00000 Dra  Cam
11.50000 +77.00000 Dra  Cam
13.00000 +77.00000 Dra  Cam
13.00000 +70.00000 Dra  UMi
14.00000 +70.00000 Dra  UMi
14.00000 +66.00000 Dra  UMi
15.66667 +66.00000 Dra  UMi
15.66667 +70.00000 Dra  UMi
16.53333 +70.00000 Dra  UMi
16.53333 +75.00000 Dra  UMi
17.50000 +75.00000 Dra  UMi
17.50000 +80.00000 Dra  UMi
18.00000 +80.00000 Dra  UMi
18.00000 +86.00000 Dra  UMi
21.00000 +86.00000 Dra  UMi
21.00000 +80.00000 Dra  Cep
20.16667 +80.00000 Dra  Cep
20.16667 +75.00000 Dra  Cep
20.66667 +75.00000 Dra  Cep
20.66667 +67.00000 Dra  Cep
20.41667 +67.00000 Dra  Cep
20.41667 +61.50000 Dra  Cep
20.00000 +61.50000 Dra  Cep
20.00000 +59.50000 Dra  Cep
19.76667 +59.50000 Dra  Cyg
19.76667 +58.00000 Dra  Cyg
19.41667 +58.00000 Dra  Cyg
19.41667 +55.50000 Dra  Cyg
19.08333 +55.50000 Dra  Cyg
19.08333 +47.50000 Dra  Cyg
18.23333 +47.50000 Dra  Lyr
18.23333 +50.50000 Dra  Her
17.00000 +50.50000 Dra  Her
17.00000 +51.50000 Dra  Her
15.75000 +51.50000 Dra  Her
15.75000 +53.00000 Dra  Boo
15.25000 +53.00000 Dra  Boo
15.25000 +55.50000 Dra  Boo
14.41667 +55.50000 Dra  Boo
14.41667 +63.00000 Dra  UMa
13.50000 +63.00000 Dra  UMa
13.50000 +64.00000 Dra  UMa
12.00000 +64.00000 Dra  UMa
12.00000 +66.50000 Dra  UMa
11.33333 +66.50000 Dra  UMa
11.33333 +73.50000 Dra  UMa
 9.16667 +73.50000 Dra  UMa
20.83333 +02.00000 Equ
20.83333 +06.00000 Equ  Del
20.87500 +06.00000 Equ  Del
20.87500 +11.83333 Equ  Del
21.05000 +11.83333 Equ  Del
21.11667 +11.83333 Equ  Peg
21.11667 +12.50000 Equ  Peg
21.33333 +12.50000 Equ  Peg
21.33333 +02.00000 Equ  Peg
20.83333 +02.00000 Equ  Aqr
 3.58333 -00.00000 Eri
 4.61667 -00.00000 Eri  Tau
 4.66667 -00.00000 Eri  Ori
 4.66667 -04.00000 Eri  Ori
 5.08333 -04.00000 Eri  Ori
 5.08333 -11.00000 Eri  Ori
 4.91667 -11.00000 Eri  Lep
 4.91667 -14.50000 Eri  Lep
 4.83333 -14.50000 Eri  Lep
 4.83333 -27.25000 Eri  Lep
 4.70000 -27.25000 Eri  Cae
 4.70000 -30.00000 Eri  Cae
 4.58333 -30.00000 Eri  Cae
 4.58333 -37.00000 Eri  Cae
 4.26667 -37.00000 Eri  Cae
 4.26667 -40.00000 Eri  Cae
 3.86667 -40.00000 Eri  Hor
 3.86667 -44.00000 Eri  Hor
 3.41667 -44.00000 Eri  Hor
 3.41667 -46.00000 Eri  Hor
 3.00000 -46.00000 Eri  Hor
 3.00000 -49.00000 Eri  Hor
 2.66667 -49.00000 Eri  Hor
 2.66667 -51.00000 Eri  Hor
 2.41667 -51.00000 Eri  Hor
 2.41667 -54.00000 Eri  Hor
 2.16667 -54.00000 Eri  Hor
 2.16667 -58.50000 Eri  Hor
 1.33333 -58.50000 Eri  Hyi
 1.33333 -53.50000 Eri  PHE
 1.58333 -53.50000 Eri  PHE
 1.58333 -51.50000 Eri  PHE
 1.83333 -51.50000 Eri  PHE
 1.83333 -48.16667 Eri  PHE
 2.33333 -48.16667 Eri  PHE
 2.33333 -40.00000 Eri  PHE
 3.00000 -40.00000 Eri  For
 3.00000 -39.58333 Eri  For
 3.50000 -39.58333 Eri  For
 3.50000 -36.00000 Eri  For
 3.75000 -36.00000 Eri  For
 3.75000 -24.38333 Eri  For
 2.65000 -24.38333 Eri  For
 2.65000 -01.75000 Eri  Cet
 3.28333 -01.75000 Eri  Cet
 3.58333 -01.75000 Eri  Tau
 3.58333 -00.00000 Eri  Tau
 1.66667 -24.38333 For
 2.65000 -24.38333 For  Cet
 3.75000 -24.38333 For  Eri
 3.75000 -36.00000 For  Eri
 3.50000 -36.00000 For  Eri
 3.50000 -39.58333 For  Eri
 3.00000 -39.58333 For  Eri
 3.00000 -40.00000 For  Eri
 2.33333 -40.00000 For  Eri
 1.66667 -40.00000 For  Phe
 1.66667 -25.50000 For  Scl
 1.66667 -24.38333 For  Cet
 6.30833 +12.00000 Gem
 6.30833 +17.50000 Gem  Ori
 6.21667 +17.50000 Gem  Ori
 6.21667 +21.50000 Gem  Ori
 5.88333 +21.50000 Gem  Ori
 5.88333 +22.83333 Gem  Ori
 5.88333 +28.00000 Gem  Tau
 6.53333 +28.00000 Gem  Aur
 6.53333 +35.50000 Gem  Aur
 7.36667 +35.50000 Gem  Aur
 7.75000 +35.50000 Gem  Lyn
 7.75000 +33.50000 Gem  Lyn
 8.00000 +33.50000 Gem  Lyn
 8.00000 +28.00000 Gem  Cnc
 7.88333 +28.00000 Gem  Cnc
 7.88333 +20.00000 Gem  Cnc
 7.80833 +20.00000 Gem  Cnc
 7.80833 +13.50000 Gem  Cnc
 7.50000 +13.50000 Gem  CMi
 7.50000 +12.50000 Gem  CMi
 7.00000 +12.50000 Gem  CMi
 7.00000 +10.00000 Gem  CMi
 6.93333 +10.00000 Gem  Mon
 6.93333 +12.00000 Gem  Mon
 6.30833 +12.00000 Gem  Mon
21.33333 -37.00000 Gru
23.00000 -37.00000 Gru  PsA
